taxonID,parent,synonymOf,name,authorship,taxonRank,status,genus,specificEpithet,infraspecificEpithet
7631223,,2930048.0,Solanum asperum,Sieber ex Dunal,species,heterotypic synonym,Solanum,asperum,
7655651,,2930048.0,Solanum verbascifolium,Kunth,species,heterotypic synonym,Solanum,verbascifolium,
8573617,,2930048.0,Solanum asperum,Sieber,species,homotypic synonym,Solanum,asperum,
3799398,,2930048.0,Solanum callicarpifolium asperum,M.Gómez,variety,synonym,Solanum,callicarpifolium,asperum
10826906,,,Solanum callicarpifolium callicarpifolium,,subspecies,accepted,Solanum,callicarpifolium,callicarpifolium
2930050,,2930048.0,Solanum sieberianum,Dunal,species,synonym,Solanum,sieberianum,
2929208,,2930906.0,Solanum suaveolens balaoense,Bitter,variety,synonym,Solanum,suaveolens,balaoense
2929199,,2930906.0,Solanum suaveolens pliophyllidium,Bitter,variety,synonym,Solanum,suaveolens,pliophyllidium
2930843,,2930841.0,Pionandra cornigera,(Dunal) Miers,species,synonym,Pionandra,cornigera,
2929205,,2930906.0,Solanum pliophyllidium,(Bitter) A.Child,species,synonym,Solanum,pliophyllidium,
2929827,,2929825.0,Solanum zanzibarense praematurum,(Dammer) Bitter,subspecies,synonym,Solanum,zanzibarense,praematurum
2929831,,2929825.0,Solanum zanzibarense vagans,(C.H.Wright) Bitter,variety,synonym,Solanum,zanzibarense,vagans
2931999,,2931992.0,Solanum pascoense,Ochoa,species,synonym,Solanum,pascoense,
6711744,,2931992.0,Solanum jalcae jalcae,,variety,synonym,Solanum,jalcae,jalcae
3798910,,2931992.0,Solanum taulisense,Ochoa,species,synonym,Solanum,taulisense,
2931995,,2931992.0,Solanum jalcae pubescens,Correll,variety,synonym,Solanum,jalcae,pubescens
2931998,,2931992.0,Solanum chomatophilum sausianense,Ochoa,form,synonym,Solanum,chomatophilum,sausianense
2932000,,2931992.0,Solanum jalcae,Ochoa,species,synonym,Solanum,jalcae,
2931993,,2931992.0,Solanum chomatophilum pilosum,Correll,form,synonym,Solanum,chomatophilum,pilosum
2931997,,2931992.0,Solanum chomatophilum angustifolium,Correll,form,synonym,Solanum,chomatophilum,angustifolium
6711745,,2931992.0,Solanum chomatophilum subnivale,Ochoa,variety,synonym,Solanum,chomatophilum,subnivale
3798321,,2931992.0,Solanum chomatophilum angustifoliolum,Correll,form,synonym,Solanum,chomatophilum,angustifoliolum
2931994,,2931992.0,Solanum huarochiriense,Ochoa,species,synonym,Solanum,huarochiriense,
6711743,,2931992.0,Solanum chomatophilum chomatophilum,,variety,synonym,Solanum,chomatophilum,chomatophilum
7299402,,2931992.0,Solanum chomatophilum chomatophilum,,form,synonym,Solanum,chomatophilum,chomatophilum
2931996,,2931992.0,Solanum chomatophilum subnivale,Ochoa,form,synonym,Solanum,chomatophilum,subnivale
2932445,,2932444.0,Solanum crispulum,C.V.Morton,species,synonym,Solanum,crispulum,
